id,name,chineseName,altNames,originCountry,originRegion,developedYear,parentage,description,plantType,environment,processing,oxidation,roasting,versatility,authorshipRung
komakage,Komakage,こまかげ,N/A,Japan,Aichi,1970,Selected from a native Zairai population.,"An excellent shading cultivar from Aichi prefecture, known for its strong, upright growth and resistance to cold. It produces a high-quality Tencha for Matcha with a good balance of umami and a unique, slightly savory, almost spicy character that distinguishes it from the classic Uji cultivars.","Vigorous, upright bush with strong cold resistance (Camellia sinensis var. sinensis).",Very well-suited to the climate of Aichi and other regions that experience colder winters than southern Japan.,Komakage is well-suited for shaded cultivation. Its robust nature makes it a reliable choice for farmers. It is processed into Tencha for Matcha production.,Zero oxidation. The leaves are steamed promptly after being harvested from the shaded plants.,"No roasting. As Tencha, the leaves are dried flat in a special oven without being rolled to prepare them for stone-milling.","Highly specialized for Matcha. It is a key cultivar for Matcha production outside of the Uji region, particularly in Aichi.",drafted
koshun,Koshun,香駿,Fragrant Shun,Japan,Shizuoka,2000,'Kurizawa' x 'Kanayamidori',"'Fragrance of Shizuoka'. A remarkable modern cultivar bred specifically for its astonishingly powerful and unique floral aroma. It produces a Sencha with a perfume-like fragrance reminiscent of lily-of-the-valley, jasmine, and cherry leaves, offering a completely different experience from classic, umami-focused Japanese green teas.","Upright, vigorous bush with long, elegant leaves (Camellia sinensis var. sinensis).","Well-suited to the climate of Shizuoka, where it was developed.","Processing Koshun is all about capturing its volatile aromatic compounds. It is typically lightly steamed (Asamushi) to prevent the heat from damaging the delicate floral notes. Careful, low-temperature drying is also crucial.",Zero oxidation for the Sencha style. The leaves are steamed immediately to lock in the floral aroma.,"A very gentle, low-temperature final drying roast is used to avoid baking away the prized floral fragrance.","Moderately versatile. While its primary use is for a unique style of aromatic Sencha, its genetics also make it suitable for crafting fragrant Japanese oolongs.",drafted
liu-an-gua-pian,Liu An Gua Pian,六安瓜片,Melon Slice Tea,China,"Lu'an, Anhui",1644,Local Qishan heirloom population ('Qishan Qunti Zhong').,"'Lu'an Melon Slice'. A unique and famous Chinese green tea from Anhui, notable for what it lacks: it is made entirely from mature leaves, with all buds and stems meticulously removed. The finished tea, resembling melon seeds, is baked, not pan-fired, giving it a complex, toasty, and vegetal flavor.","Hardy, medium-sized bushes from the local heirloom population (Camellia sinensis var. sinensis).","Grows in the hilly, temperate climate of Lu'an City in western Anhui, particularly in the Qishan mountain range.","The processing is unique. After picking, the leaves are de-stemmed and de-veined by hand. They are then wok-fired to kill-green and shape, followed by a multi-stage, slow baking process over charcoal fires, which is crucial for developing its flavor.",Zero oxidation. The leaves undergo a rapid 'kill-green' in a wok to halt all enzymatic processes.,"Roasting is the defining characteristic. The tea is baked multiple times over charcoal fires of varying intensity. This 'lao huo' (old fire) process builds a deep, complex, and toasty flavor without any smokiness.","Extremely specialized. This cultivar and its unique processing method (no buds/stems, baked) are inseparable from the identity of Liu An Gua Pian.",drafted
long-jing-43,Long Jing #43,龙井43号,Dragon Well #43,China,Hangzhou (Zhejiang),1970,Selected and cloned from the native Long Jing Qunti Zhong population.,"'Long Jing No. 43'. The most widespread and commercially important modern cultivar for producing West Lake Long Jing tea. It was developed for its high yield, beautiful appearance, and early budding time, allowing for the prized pre-Qingming harvest. It produces the classic, beloved nutty and sweet soybean flavor of Long Jing.","Compact, early-sprouting bush with high productivity (Camellia sinensis var. sinensis).","Thrives in the temperate climate and sandy loam soil of the hills surrounding Hangzhou's West Lake, though it is highly adaptable and grown elsewhere.","Processing is defined by the pan-firing ('chao qing') step. The tender leaves are skillfully pressed against the hot surface of a wok to stop oxidation, dry the leaves, and shape them into their iconic flat form.","Zero oxidation. As a green tea, the leaves are heated (in this case, pan-fired) almost immediately after harvesting to deactivate the enzymes responsible for oxidation.","No roasting. The 'roasty' notes in Long Jing come directly from the pan-firing process itself, not from a separate roasting step.","Specialized for pan-fired green tea. Its entire set of desirable traits—early budding, tender leaves, beautiful shape—is geared towards producing high-quality Long Jing.",drafted
long-jing-qunti-zhong,Long Jing Qunti Zhong,龙井群体种,Old Long Jing;Traditional Dragon Well,China,Hangzhou (Zhejiang),0,"The original, native heirloom population of the West Lake region.","'Long Jing Population'. This is not a single clonal cultivar but the original, genetically diverse, seed-propagated heirloom population of Long Jing tea plants. Connoisseurs often prefer it to the modern #43 clone, believing it to have a deeper, more complex, and nuanced flavor profile, though its appearance is less uniform and it buds later.","Variable, seed-propagated bushes with diverse growth habits (Camellia sinensis var. sinensis).","Grows in the core, traditional production areas around West Lake in Hangzhou. It is perfectly adapted to this specific terroir over centuries of growth.","The processing is identical to Long Jing #43 (pan-firing), but the skill of the tea master is even more crucial due to the variability in leaf size and moisture content from the genetically diverse bushes.","Zero oxidation. Like all Long Jing, it is a green tea where oxidation is halted immediately by pan-firing.",No roasting. The complex toasted notes are a direct result of the skillful pan-firing process.,Specialized for pan-fired green tea. It represents the historical and most complex expression of the Long Jing style.,drafted
mao-xie,Mao Xie,毛蟹,Hairy Crab,China,Anxi (Fujian),1901,"Distinct Anxi cultivar, not a direct Tie Guan Yin relative.","'Hairy Crab'. An Anxi oolong cultivar named for the fine, downy hairs on its fresh leaves and the slightly curled shape of the brewed leaf, thought to resemble a crab. It is known for its forward, fruity-floral aroma, high yield, and early budding, making it a commercially important variety in Anxi.",Semi-spreading bush with dense branches and high productivity (Camellia sinensis var. sinensis).,"Highly adaptable and vigorous, growing well in the general terroir of Anxi County, from lower to mid-elevations.",Mao Xie is prized for its upfront aroma which can be easily developed. The processing focuses on a controlled withering to bring out these volatile compounds without needing the heavy bruising or roasting that other cultivars require.,Undergoes light oxidation (15-25%) to preserve its characteristic fresh and fruity notes. The processing is efficient and focuses on capturing the peak aroma.,"Like Ben Shan, it is almost always unroasted or receives only a minimal drying bake to preserve its fresh, fragrant profile.","Similar to Ben Shan, it has low versatility. It is a specialist in producing fragrant, accessible, and affordable green-style oolongs and does not have the structure for other tea styles.",drafted
mei-zhan,Mei Zhan,梅占,N/A,China,"Wuyi, Anxi",1801,"Originated in Anxi, Fujian.","A highly versatile Fujian cultivar, originally from Anxi. While it can be made into a pleasant oolong, it has gained modern fame as one of the primary cultivars used to produce Jin Jun Mei, an elite, bud-only black tea from the Wuyi region. Its inherent sweetness and fruity notes make it an excellent base for high-end black teas.","Vigorous, semi-arbor type with good adaptability (Camellia sinensis var. sinensis).","Highly adaptable to different terroirs within Fujian, which has contributed to its widespread use.","Mei Zhan's versatility is due to its balanced chemical composition. Its buds are particularly well-suited for black tea processing, as they are rich in compounds that create sweetness and a thick texture when fully oxidized.","Oxidation is typically full (100%) for its most famous black tea expression. When made as an oolong, it undergoes medium oxidation (30-40%).",Roasting is not a key feature. Black tea expressions are simply dried. Oolong expressions may receive a light bake.,"Extremely versatile. It is a rare cultivar that can be skillfully crafted into high-quality oolong, black, and even white tea, though its modern fame is overwhelmingly tied to black tea.",drafted
meiryoku,Meiryoku,めいりょく,,Japan,Shizuoka,1979,,"A late-budding cultivar known for producing a Sencha with a refreshing, slightly floral aroma and a unique, bright flavor with hints of citrus and spice. It has a very favorable chemical composition with high amino acid content and is also noted for its strong resistance to common tea plant diseases.",,,,,,,drafted
mengding-ganlu,Mengding Ganlu,蒙顶甘露,Sweet Dew,China,"Mengding Mountain, Sichuan",0,Traditionally a local heirloom population; modern production often uses clones like 'Mengshan #9'.,"'Mengding Sweet Dew'. An ancient and celebrated green tea from Mengding Mountain in Sichuan, often cited as one of the oldest forms of tribute tea in China. It is known for its delicate, tightly rolled leaves covered in fine down, and a fresh, complex flavor profile that balances umami, sweetness, and a lasting floral aroma.","Small-leaf, downy-bud cultivar, adapted to high-altitude growth (Camellia sinensis var. sinensis).","Grows on the perennially misty and rainy slopes of Mengding Mountain, where the constant cloud cover and rich soil create very tender and flavorful leaves.","Processing involves a sequence of pan-firing to kill-green, followed by multiple stages of intricate hand-rolling and drying. This complex rolling technique is what creates the tightly twisted shape and develops the tea's deep flavor.",Zero oxidation. The leaves are quickly pan-fired after harvest to halt all oxidation.,"No roasting. The tea is dried using the heat from the pan-firing and subsequent drying steps. The focus is on shape and preserving fresh flavor, not on a baked or roasted character.",Highly specialized. The cultivar is intrinsically linked to the Mengding Ganlu style of processed green tea.,drafted
mengku-da-ye-zhong,Mengku Da Ye Zhong,勐库大叶种,Mengku Broad Leaf,China,"Lincang (Mengku), Yunnan",0,A distinct local heirloom population of C. sinensis var. assamica.,"'Mengku Big Leaf Variety'. A highly sought-after sub-variety of the Da Ye (Assamica) varietal, native to the Mengku region of Lincang, Yunnan. It is celebrated for its 'dual characteristics' of strong bitterness and powerful aroma, combined with a thick texture and an exceptionally fast and intense returning sweetness ('huigan').","Large, robust arbor tree with large, leathery leaves that have prominent veins (Camellia sinensis var. assamica).","Grows in the high-altitude, mountainous region of Mengku, particularly around Bingdao (Ice Island), which is famous for this cultivar.","Processing is identical to other Sheng Pu'er teas: pan-firing to kill-green, rolling to shape, and crucially, sun-drying to preserve the enzymes necessary for long-term aging and fermentation.","Minimal oxidation (<5%) from processing, just like other Sheng Pu'er. The true transformation happens over years of aging.",No roasting. Sun-drying is the defining and required final step before the tea is steamed and compressed into cakes.,"Extremely specialized. The Mengku Da Ye cultivar is one of the most prized materials for high-end, single-origin Sheng Pu'er.",drafted
mi-lan-xiang,Mi Lan Xiang,米兰香,Honey Orchid Dan Cong,China,Phoenix Mountains (Guangdong),1644,"A specific, highly successful fragrance-type selected from the local Shui Xian population.","'Honey Orchid Fragrance'. The most popular, accessible, and representative of all Phoenix Dan Cong oolongs. It is beloved for its intoxicating and forward aroma that beautifully mimics the scent of honey, orchids, and ripe stone fruit, all built upon the classic mineral-rich foundation of its mountainous terroir.","Tall, upright arbor type, can grow into a small tree (Camellia sinensis var. sinensis).","Thrives in the high-altitude (600-1,200m), misty, and rocky environment of the Phoenix (Feng Huang) Mountains.",The key to processing Mi Lan Xiang is the carefully controlled withering and bruising ('yao qing') stage. This is where the leaf's cell walls are broken down just enough to develop the signature honey-orchid aroma without introducing bitterness.,"Undergoes a medium level of oxidation (25-40%), which is the sweet spot for developing its complex fruity and floral notes while retaining a fresh vibrancy.","Receives a light to medium charcoal roasting. This bake helps to stabilize the tea, round out the flavors, and fix the beautiful aroma, making it more persistent over multiple infusions.","Specialized for the Dan Cong oolong style. While theoretically it could be processed differently, its entire value and identity lie in its famous 'honey orchid' aromatic profile.",drafted
oku-yutaka,Oku Yutaka,おくゆたか,,Japan,Shizuoka,1989,,"'Late Abundant'. A late-budding hybrid of Yabukita and Yutakamidori, Oku Yutaka combines the robust body of its parents with a refined, less astringent flavor. It is a high-yielding and disease-resistant cultivar, valued for producing a full-bodied Sencha with a rich flavor and a bright green color.",,,,,,,drafted
okuhikari,Okuhikari,おくひかり,Late Light,Japan,Shizuoka,1978,Yabukita x a native Shizuoka Zairai,"'Late Light'. A late-budding cultivar with a refreshing, brisk mouthfeel and a distinct floral and woody character that sets it apart from the more common vegetal or umami-driven Senchas. It is a versatile and reliable cultivar for farmers.","Vigorous, late-budding bush (Camellia sinensis var. sinensis).",Its late budding makes it a useful cultivar for extending the spring harvest season and avoiding frost. It is adaptable to various climates.,Okuhikari is typically processed as a standard Sencha (Chumushi) to maintain the balance of its unique flavor profile.,Zero oxidation. The leaves are steamed immediately after harvest.,A standard light final drying roast is applied to stabilize the tea and round out its flavors.,Specialized for Sencha. It offers a unique flavor profile that adds diversity to the world of Sencha.,drafted
okumidori,Okumidori,おくみどり / 奥緑,,Japan,Shizuoka,1974,,"'Late Green'. A late-budding, versatile cultivar with a rich, creamy flavor, often used for Matcha or blended with Yabukita.",,,,,,,drafted
qi-lan,Qi Lan,奇兰,Rare Orchid,China,"Wuyi Mountains, Anxi",1801,"Originated in Pinghe County, southern Fujian.","'Rare Orchid' or 'Marvelous Orchid'. A highly aromatic cultivar that originated in southern Fujian but has found a second home in the Wuyi Mountains. It is celebrated for its powerful and persistent orchid-like fragrance, which it can express beautifully as both a greener Anxi-style oolong and a more robust, roasted Wuyi-style rock oolong.","Upright, vigorous bush with good productivity (Camellia sinensis var. sinensis).","Highly adaptable, it thrives in both the clay soils of its native southern Fujian and the rocky terroir of the Wuyi Mountains.",it undergoes a traditional Yancha process with a moderate roast. In Anxi,"it is processed very lightly like a modern Tie Guan Yin to preserve its fresh aroma.,Oxidation ranges from light (20-30% for Anxi style) to medium (40-50% for Wuyi style)","demonstrating the cultivar's ability to adapt to different processing goals.,Roasting is the key differentiator. It is unroasted in Anxi to preserve fresh florals","but receives a light-to-medium charcoal roast in Wuyi to add depth and a mineral character.,Very versatile within the oolong category. It is one of the few cultivars that is famous for being produced in two distinct regional styles (Anxi and Wuyi).
Mei Zhan,梅占,A highly versatile Fujian cultivar",drafted
qi-men-zhong,Qi Men Zhong,祁门种,Keemun,China,Qimen (Anhui),1875,"The native, local heirloom population of Qimen county.","'Qimen Species'. This is not a single clone, but the local heirloom population of small-leaf tea bushes from Qimen county, Anhui. It is the one and only material used for making Keemun black tea. When processed into black tea, it produces a famously complex aroma with notes of wine, rose, pine, and dried fruit, earning it the title 'the Burgundy of tea'.","Small-leaf, genetically diverse bushes adapted to the local terroir (Camellia sinensis var. sinensis).","Grows in the mild, humid, and often foggy climate of Qimen county in southern Anhui, where the soil and environment are perfect for developing its complex aromatics.","carefully controlled withering and oxidation process. This allows the full range of aromatic compounds within the Qi Men Zhong leaves to develop.,Undergoes full oxidation (100%). The oxidation process is meticulous and often takes longer than for other black teas","which is crucial for building its signature layered aroma.,A final","gentle drying bake is applied to stabilize the tea and halt oxidation. It is not roasted in a way that would impart a toasty flavor.,Completely specialized. The Qi Men Zhong population is only used to produce Keemun black tea. Its global fame is entirely dependent on this one style.
Qing Xin,青心,'Green Heart'. The undisputed king of Taiwanese oolongs",Qing Xin is celebrated for its ability to perfectly express the unique terroir of Taiwan's high mountains. It produces a tea with an ethereal,drafted
qing-xin,Qing Xin,青心,Green Heart;Chin Shin Oolong,Taiwan,"High Mountains (Lishan, Alishan)",1885,"Brought to Taiwan from Fujian, China.","'Green Heart'. The undisputed king of Taiwanese oolongs, Qing Xin is celebrated for its ability to perfectly express the unique terroir of Taiwan's high mountains. It produces a tea with an ethereal, elegant character, a remarkably thick and creamy mouthfeel, and a delicate floral aroma of lilac and gardenia. It is the benchmark for high-end Taiwanese tea.","Relatively small, slow-growing bush that requires meticulous care and specific conditions to thrive (Camellia sinensis var. sinensis).","Grows best at very high altitudes (1,000-2,600m) where cool temperatures, constant mist, and large diurnal temperature swings concentrate flavors in the leaves.","Processing Qing Xin is all about preservation. The goal is to capture the pristine character of the high-mountain leaf with minimal intervention. Gentle handling and a slow, controlled withering process are essential.",Undergoes very light oxidation (15-25%) to develop its creamy texture and floral notes without losing the freshness endowed by its high-altitude terroir.,"Generally unroasted. A final, very light bake is applied for drying, but any significant roast would be seen as masking the pure, delicate character of the leaf.","Highly versatile for high-quality teas. It is the gold standard for High Mountain Oolong and Baozhong, and also makes an excellent Taiwanese green tea. Its quality ceiling is extremely high.",drafted
qing-xin-da-mao,Qing Xin Da Mao,青心大冇,Green Heart Big Hairy;Oriental Beauty Cultivar;Bai Hao Oolong Cultivar,Taiwan,"Hsinchu, Miaoli",1885,Selected from native Chinese heirloom population.,"'Green Heart Big Hairy'. The indispensable cultivar for creating Taiwan's famous Oriental Beauty oolong. This tea's unique honey and muscat grape flavor is not from the leaf itself, but from its reaction to the bites of a tiny insect, the tea leafhopper. The cultivar's specific chemistry is perfectly suited to this remarkable transformation.","Sprawling, semi-upright bush, can be unruly (Camellia sinensis var. sinensis).","Thrives in the hot, humid, and lower-altitude (100-400m) environments of northwestern Taiwan where the tea leafhopper (Jacobiasca formosana) is abundant.",The entire process relies on nature; the tea must be bitten by the leafhopper. Processing then aims to highlight the resulting aromatic compounds. The leaves are handled gently to preserve their unique character.,"Undergoes heavy oxidation (60-70%), which is crucial for developing the complex honey and ripe fruit flavors that are created in response to the insect bites.","Completely unroasted. The rich, deep flavors are a result of oxidation, not heat. A finishing bake is used for drying only.",Extremely specialized. This cultivar's identity and value are entirely dependent on the presence of the tea leafhopper and the specific processing of Oriental Beauty oolong.,drafted
qing-xin-gan-zhi,Qing Xin Gan Zhi,青心柑仔,Green Heart Orange,Taiwan,Taipei,1850,Selected from native Chinese heirloom population.,"'Green Heart Orange'. An older, traditional Taiwanese oolong cultivar that was more prominent before the widespread adoption of Qing Xin Oolong. It is known for producing a clean, fragrant, and slightly more vegetal Baozhong oolong and is a parent of the famous Si Ji Chun cultivar.","Semi-upright bush, considered a more 'rustic' cultivar (Camellia sinensis var. sinensis).","Well-suited to the lower-altitude, humid basin environments like those found around Taipei.","Processing is straightforward, following the traditional twisted-leaf Baozhong style. The goal is to preserve a fresh, green character.","Undergoes very light oxidation (10-20%) to maintain its fresh, green, and floral notes.","Unroasted, aside from a final drying bake. Its delicate character is not suited for roasting.","Low versatility. It is a specialist for producing a classic, traditional style of Baozhong oolong.",drafted
que-she,Que She,雀舌,Sparrow's Tongue,China,Wuyi Mountains (Fujian),1644,A prized selection from the native Wuyi heirloom population.,"'Sparrow's Tongue'. A rare and highly sought-after Wuyi Rock Oolong named for its small, pointed leaves. It is celebrated for its exceptionally refined and elegant character, a high, sharp floral fragrance, and a very clean, mineral-driven taste. It is often processed with a lighter roast to preserve its delicate nature.","Small-leaf, slow-growing, semi-upright bush (Camellia sinensis var. sinensis).","Grows in specific, protected microclimates within the Wuyi Mountains. It is less common due to its lower yield and more demanding growing conditions.","Processing Que She requires great finesse. The goal is to highlight its delicate, high-pitched aroma. The leaves, while small, are robust enough for Yancha processing but shine when handled with a lighter touch.","Undergoes a standard medium oxidation (30-50%) to develop a base of flavor that supports, rather than overwhelms, its high-note aromatics.","Roasting is typically lighter than for other top-tier Yancha. A careful, low-temperature bake is used to bring out the mineral notes and add smoothness while preserving the vibrant floral fragrance.",Highly specialized. Que She is an expression of a more elegant and aromatic style of Wuyi Rock Oolong.,drafted
rou-gui,Rou Gui,肉桂,,China,Wuyi Mountains (Fujian),,,'Cassia/Cinnamon'. A top-tier Wuyi Rock Oolong prized for its pronounced spicy aroma. One of the most popular Yancha cultivars today.,,,,,,,drafted
saemidori,Saemidori,さえみどり / 冴緑,,Japan,Fukuoka,1990,,'Clear Green'. A modern elite cultivar prized for its vibrant color and low bitterness. A hybrid of Yabukita and Asatsuyu.,,,,,,,drafted
samidori,Samidori,さみどり,,Japan,Kyoto (Uji),1950,,"A foundational and highly reliable cultivar from Uji, Kyoto. It is a versatile workhorse for the high-end shaded tea industry, particularly for Matcha. It is prized for its excellent, vibrant green color, good umami, and a smooth, well-balanced flavor that is ideal for creating both thick ('koicha') and thin ('usucha') Matcha.",,,,,,,drafted
shi-da-cha,Shi Da Cha,柿大茶,Persimmon Big Tea;Tai Ping Hou Kui cultivar,China,"Taiping, Anhui",1901,"A local, large-leaf mutation of C. sinensis var. sinensis.","'Persimmon Big Tea'. A truly unique and visually stunning cultivar from Taiping county in Anhui. It is defined by its massive leaves, which can be much larger than a person's hand. It is used exclusively to make Tai Ping Hou Kui, a green tea where the leaves are painstakingly pressed by hand, resulting in a long, flat, and beautiful finished product.","Large, robust bush with very strong branches to support its massive leaves (Camellia sinensis var. sinensis).","Grows in the misty, mountainous region of the former Taiping prefecture (now Huangshan district), where the specific microclimate allows these large leaves to grow tenderly.","The processing is highly specialized and laborious. After kill-green, each individual leaf is placed between layers of cloth and hand-pressed with rollers to create its flat, uniform shape. This requires immense patience and skill.",Zero oxidation. The massive leaves are quickly pan-fired to halt enzymatic activity and preserve their vibrant green color and fresh aroma.,"A gentle baking process follows the hand-pressing to slowly and evenly dry the large, thick leaves without scorching them or creating a roasted flavor.","Completely specialized. This unique, giant-leaf cultivar exists only to be made into the singular and iconic Tai Ping Hou Kui.",drafted
shizu-7132,Shizu-7132,静岡7132,Sakura Kaori (Cherry Blossom Aroma),Japan,Shizuoka,1971,Natural mutation of Yabukita.,"A famous un-registered cultivar from Shizuoka, renowned for its intense and unmistakable aroma of 'sakura-mochi'—a sweet, cherry blossom and glutinous rice scent. It is a natural mutation of Yabukita and offers a very popular and distinct aromatic experience.","Vigorous, mid-budding bush (Camellia sinensis var. sinensis).",Grows well in Shizuoka and is prized by farmers who specialize in aromatic teas.,"Processing for 7132 is all about preserving its signature coumarin compound, which is responsible for the sakura aroma. This requires careful handling and specific steaming and drying parameters.",Zero oxidation. The leaves are steamed immediately after harvest.,"A careful final drying roast is applied to enhance and fix the sweet, sakura-like aroma without creating any burnt notes.","Specialized for Sencha. Its entire value is based on its singular and highly sought-after cherry blossom aroma, so it is not used for other tea styles.",drafted
shui-jin-gui,Shui Jin Gui,水金龟,Golden Water Turtle,China,Wuyi Mountains (Fujian),,"One of the four original, legendary Wuyi cultivars, with a famous origin story.","'Golden Water Turtle'. Another of the four 'Si Da Ming Cong', this cultivar is steeped in a legend of being washed away by a flood and thriving in its new home. It is celebrated for its vibrant and highly fragrant character, striking a beautiful balance between bright, effusive floral notes (like gardenia and osmanthus) and the classic, creamy mineral base of a top-tier rock oolong.","Vigorous, productive bush with a semi-upright growth habit (Camellia sinensis var. sinensis).","Grows well in the core production areas of the Wuyi Mountains, where the soil and climate help it develop its signature balance of aroma and texture.","but not so much that it damages the delicate and valuable floral fragrance.,Highly specialized. Like its 'Si Da Ming Cong' siblings",Shui Jin Gui is a singular expression of Wuyi Rock Oolong,valued for its unique and legendary aromatic profile.,,drafted
shui-xian,Shui Xian,水仙,Water Sprite;Narcissus;Lao Cong Shui Xian (for old grove),China,Wuyi Mountains (Fujian),1870,"Selected from native Fujian heirloom population, likely originating in Jian'ou.","'Water Sprite' or 'Narcissus'. A foundational Fujian oolong cultivar, famous for its versatility and profound transformation with age and processing. Young or lightly roasted Shui Xian is floral and bright, while heavily roasted or aged 'Lao Cong' (Old Grove) versions reveal deep, complex notes of aged wood, moss, and a resonant sweetness.",Versatile arbor type that can be a bush or a small tree (Camellia sinensis var. sinensis). Known for its large leaves.,"Highly adaptable. Thrives in the rocky terroir of Wuyi but also grows well in the clay soils of Southern Fujian. Old groves are in protected, high-humidity environments.","Its large, robust leaves are highly forgiving and can withstand significant processing, whether it be the bruising of oolong production or the heavy oxidation of black tea. They are particularly well-suited to absorbing the character of a charcoal roast.","Oxidation is highly variable, from a medium 30% for more floral styles to a heavy 60-70% for darker, more robust Yancha expressions that are destined for aging or heavy roasting.","Extremely responsive to roasting. This is the key variable that defines its style. Light roasting preserves its delicate floral notes, while multiple, heavy roasts build immense depth, complexity, and a smooth, woody character.","Highly versatile. Shui Xian is a master of transformation, capable of producing a wide spectrum of oolong styles from light and floral to dark and brooding. It also makes a respectable black tea.",drafted
si-ji-chun,Si Ji Chun,四季春,Four Seasons Oolong,Taiwan,Nantou,1980,Natural cross-pollination of Wu Yi and Qing Xin Gan Zhi.,"'Four Seasons Spring'. A famously prolific and aromatic cultivar, discovered as a natural cross in the 1980s. It's named for its ability to be harvested almost year-round, while still producing a tea with an explosive, forward, and highly accessible floral aroma, primarily of gardenia and jasmine.","Extremely vigorous, dense, and highly productive bush (Camellia sinensis var. sinensis).","Thrives in lower-altitude, warmer, and more humid climates, which allows for its near-constant flushing and harvesting.","Processing is fast and efficient, aimed at capturing the cultivar's potent upfront aroma. It is a workhorse cultivar that responds well to standard green oolong processing.","Oxidation is kept very light (10-20%) to ensure the final product is dominated by the fresh, powerful gardenia and jasmine notes.","Unroasted. Its value lies in its fresh floral aroma, which would be destroyed by any significant roasting.","Low versatility. While incredibly productive, it is a specialist in producing one type of tea: a fragrant, accessible, and affordable light oolong. It lacks the structure for other styles.",drafted
sofu,Sofu,そうふう / 蒼風,Blue Wind,Japan,Saitama,2001,'Fuding Da Bai' x a native Saitama Zairai,"'Blue Wind'. A modern aromatic cultivar, similar to Koshun, that is prized for its striking and unique fragrance. It produces a Sencha or light oolong with a powerful perfume-like aroma of black currant, citrus, and mint, representing a new wave of aromatic Japanese teas.","Vigorous, upright bush (Camellia sinensis var. sinensis).","Adaptable to various climates, it is a key cultivar for the Saitama region.","Like other aromatic cultivars, Sofu is processed with a gentle hand to preserve its volatile compounds. Light steaming is preferred to avoid damaging the unique aroma.",Zero oxidation for the Sencha style. Steamed immediately after harvest.,"A very light final drying roast is applied to stabilize the tea without diminishing its powerful, unique fragrance.",Moderately versatile. It is primarily used for creating unique aromatic Senchas and is also an excellent choice for making Japanese-style light oolongs.,drafted
song-zhong,Song Zhong,宋种,Song Dynasty Cultivar;Song Species,China,Phoenix Mountains (Guangdong),960,"The original mother tree of all Dan Congs, said to have been growing since the Song Dynasty.","'Song Dynasty Cultivar'. The apex predator of Phoenix Dan Cong oolongs, Song Zhong refers to teas made from the direct descendants of the oldest known tea tree on Wudong Mountain (reputed to be over 600 years old). It is an incredibly powerful, deep, and complex tea, known for its profound 'cha qi' (tea energy) and a layered flavor profile that can only be achieved through great age and perfect terroir.","Old, gnarled, and often moss-covered arbor trees with highly variable leaf shapes (Camellia sinensis var. sinensis).","Grows exclusively on Wudong Mountain, the highest peak in the Phoenix range, in mineral-rich, yellowish-brown soil at very high altitudes (>1100m).","Processing tea from such old trees is an immense responsibility. The tea master must use all their skill to translate the raw potential of the leaves into a finished tea that is worthy of its lineage. The process is slow, careful, and traditional.",Undergoes a deep and complex oxidation process (can be 40-60% or more) that is carefully monitored to develop its multi-layered aromatic profile.,"The roasting is deep, slow, and done in multiple stages over charcoal. This complex roasting process is essential for integrating the tea's powerful flavors, smoothing its texture, and creating a tea that will continue to age and improve for years.",The ultimate specialist. Song Zhong represents the highest achievement of the Dan Cong oolong style and is never made in any other way.,drafted
taiwanese-wild-tea,Taiwanese Wild Tea,台灣山茶,Taiwan Mountain Tea;Formosan Wild Tea,Taiwan,Various,0,"Native, indigenous species to Taiwan.","The native, indigenous tea species of Taiwan, genetically distinct from the more common Camellia sinensis. It grows wild in the central mountain range. While not a major commercial crop, it is wild-harvested for specialty teas and is crucially important as genetic stock for breeding, most famously as a parent of the Hong Yu #18 'Ruby' cultivar.",Wild-growing tree that can become very large and old (Camellia formosensis).,"Grows wild in the protected, biodiverse forests of Taiwan's central mountain range at various altitudes.","Processing is often experimental and done by boutique producers. The wild-harvested leaves are precious and are typically handled with care to express their unique, wild character.","Typically undergoes full oxidation to be made into black tea, which seems to best complement its wild, woody, and herbaceous notes.",No roasting. The tea is dried with hot air.,"Not a commercial production cultivar, but a specialty item and a vital genetic resource. It is a wild plant, not a cultivated one in the traditional sense.",drafted
takachiho,Takachiho,高千穂,N/A,Japan,Miyazaki,1960,Selected from a native Zairai population.,"A classic cultivar specific to the regions in Kyushu that specialize in 'Kamairicha' or pan-fired green tea. It is prized for its ability to withstand the high heat of pan-firing, producing a green tea with a beautiful nutty and roasted aroma ('kama-ka') that is very different from the vegetal notes of steamed Sencha.","Medium-sized, robust bush adapted to pan-firing (Camellia sinensis var. sinensis).","Thrives in the warm climate of southern Kyushu, particularly Miyazaki, the heart of Kamairicha production.",the leaves are fired in a hot iron pan or rotating drum,a technique originally from China. This high,"dry heat creates the characteristic nutty aroma.,Zero oxidation. The pan-firing immediately halts all enzymatic activity.,No roasting in the traditional sense. The pan-firing process itself serves to dry the tea and create its signature roasted flavor profile.,Extremely specialized. Takachiho is a cornerstone cultivar for the unique","non-steamed Kamairicha style of Japanese green tea.
Benifuki,べにふうき,'Red Riches'. Japan's most famous and important black tea cultivar. It is a powerful hybrid of Assamica varieties",drafted
